FID,ECO_CODE,ECOREGION,PROV_CODE,PROVINCE,RLM_CODE,REALM,ALT_CODE,ECO_CODE_X,Lat_Zone,SHAPE_Length,SHAPE_Area
1,20192,Agulhas Bank,51,Agulhas,10,Temperate Southern Africa,189,192,Temperate,3950757.3359956,889857429391.459
2,20053,Aleutian Islands,10,Cold Temperate Northeast Pacific,3,Temperate Northern Pacific,50,53,Temperate,10409934.0652139,3242660888254.17
3,20072,Amazonia,13,North Brazil Shelf,4,Tropical Atlantic,64,72,Tropical,5193984.89151028,1545699047088.42
4,20194,Amsterdam-St Paul,52,Amsterdam-St Paul,10,Temperate Southern Africa,191,194,Temperate,2924451.65912949,644211776333.501
5,20228,Amundsen/Bellingshausen Sea,61,Continental High Antarctic,12,Southern Ocean,209,228,Polar,25670711.1102613,24031951962792.7
6,20109,Andaman and Nicobar Islands,24,Andaman,5,Western Indo-Pacific,105,109,Tropical,3677655.56883635,815757273421.452
7,20110,Andaman Sea Coral Coast,24,Andaman,5,Western Indo-Pacific,106,110,Tropical,2695666.91654902,345451319472.05
8,20223,Antarctic Peninsula,60,Scotia Sea,12,Southern Ocean,215,223,Polar,13014538.8499934,4172086775896.58
9,20090,Arabian (Persian) Gulf,19,Somali/Arabian,5,Western Indo-Pacific,92,90,Tropical,5094760.96861841,1602352165320.14
10,20178,Araucanian,45,Warm Temperate Southeastern Pacific,9,Temperate South America,172,178,Temperate,3819453.96686095,888566352411.008
11,20140,Arnhem Coast to Gulf of Carpenteria,32,Sahul Shelf,6,Central Indo-Pacific,132,140,Tropical,5017986.42815642,1398406463542.54
12,20139,Arafura Sea,32,Sahul Shelf,6,Central Indo-Pacific,133,139,Tropical,3082308.44921429,629616797112.801
13,20232,Auckland Island,62,Subantarctic New Zealand,12,Southern Ocean,227,232,Polar,2718260.77769031,434502184793.175
14,20029,Azores Canaries Madeira,3,Lusitanian,2,Temperate Northern Atlantic,36,29,Temperate,8514682.31241188,2468221761148.24
15,25007,Baffin Bay - Davis Strait,1,Arctic,1,Arctic,1,7,Polar,13557511.3276037,5113579889394.27
16,20063,Bahamian,12,Tropical Northwestern Atlantic,4,Tropical Atlantic,66,63,Tropical,5156521.47500465,1154441878687.9
17,20024,Baltic Sea,2,Northern European Seas,2,Temperate Northern Atlantic,29,24,Temperate,9860120.33838378,5556949767731.17
