keyword_1,keyword_2,combined_keyword,title,authors,year,doi,abbrev_citation,original_study,focus,location,ecoregion,focal_species,relevant_species,erosion_data,grazing_data,raw_data
urchin,grazing,urchin AND grazing,RESIDUAL EFFECTS OF GRAZING: INHIBITION OF COMPETITOR RECRUITMENT BY ENCRUSTING CORALLINE ALGAE ,"BREITBURG, DL",1984,10.2307/1938321,Breitburg 1984,Breitburg 1984,herbivory,"Santa Barbara, California",Southern California Bight,Strongylocentrotus franscicanus,N,N,N,N
urchin,grazing,urchin AND grazing,"What is the menu today in a subantarctic kelp food web from the Kerguelen Islands? Phytodetritus, phytoplankton and phytobenthos; not living kelp","LE BOURG, B; SAUCÈDE, T; CHARPENTIER, A; LEPOINT, G; MICHEL, LN",2022,10.1007/s00227-022-04105-z,Le Bourg et al. 2022,Le Bourg et al. 2022,herbivory,Kerguelen Islands,Kerguelen Islands,Abatus cordatus,N,N,N,Y
urchin,grazing,urchin AND grazing,O‘ahu’s marine protected areas have limited success in protecting coral reef herbivores,"ALTMAN-KUROSAKI, NT; SMITH, CM; FRANKLIN, EC",2021,10.1007/s00338-021-02054-5,Altman-Kurosaki et al. 2021,Altman-Kurosaki et al. 2021,both,both,Hawaii,Echinometra mathaei; Diadema savignyi; Tripneustes gratilla; Diadema paucispinum; Echinothrix calamaris; Echinothrix diadema; Heterocentrotus mamillatus; Echinostrephus aciculatus; Echinometra oblonga; Eucidaris metularia,Y,N,N,N
urchin,grazing,urchin AND grazing,Asymmetric patterns of recovery in two habitat forming seagrass species following simulated overgrazing by urchins,"BURNELL, OW; CONNELL, SD; IRVING, AD; RUSSELL, BD",2013,10.1016/j.jembe.2013.07.003,Burnell et al. 2013,Burnell et al. 2013,herbivory,"Lady Bay, South Australia",South Australian Gulfs,Amblypneustes pallidus,N,N,Y,N
urchin,grazing,urchin AND grazing,Eutrophication offsets increased sea urchin grazing on seagrass caused by ocean warming and acidification,"BURNELL, OW; RUSSELL, BD; IRVING, AD; CONNELL, SD",2013,10.3354/meps10323,Burnell et al. 2013,Burnell et al. 2013,herbivory,"Lady Bay, South Australia",South Australian Gulfs,Amblypneustes pallidus,N,N,Y,N
urchin,grazing,urchin AND grazing,The relative importance of herbivore-induced effects on productivity of crustose coralline algae: Sea urchin grazing and nitrogen excretion,"WAI, TC; WILLIAMS, GA",2005,10.1016/j.jembe.2005.04.010,Wai and Williams 2005,Wai and Williams 2005,herbivory,Hong Kong,Southern China,Anthocidaris crassispina,N,N,Y,N
urchin,grazing,urchin AND grazing,Assessing the potential for recovery of a Sargassum siliquastrum community in Hong Kong,"LEUNG, YH; YEUNG, CW; ANG JR., PO",2014,10.1007/s10811-013-0097-1,Leung et al. 2014,Leung et al. 2014,herbivory,"Tung Ping Chau Marine Park, Hong Kong",Southern China,Anthocidaris crassispina,N,N,Y,N
urchin,grazing,urchin AND grazing,Sea urchin repelling Tannine FeIII complex coating for ocean macroalgal afforestation,"KIM, S; JUNG, SM; JUNG, S; SHIN, HW; HWANG, DS",2021,10.1016/j.chemosphere.2020.128276,Kim et al. 2021,Kim et al. 2021,herbivory,"Pohang coast, South Korea",Sea of Japan,Anthocidaris crassispina,N,N,N,N
urchin,grazing,urchin AND grazing,"Green sea urchins structure invertebrate and macroalgal communities in the Magellan Strait, southern Chile","NEWCOMBE, EM; CÁRDENAS, CA; GEANGE, SW",2012,10.3354/ab00410,Newcombe et al. 2012,Newcombe et al. 2012,herbivory,"Punta Santa Ana, Chile",Channels and Fjords of Southern Chile,Arbacia dufresnii,N,N,N,N
urchin,grazing,urchin AND grazing,The rise of thermophilic sea urchins and the expansion of barren grounds in the Mediterranean Sea,"GIANGUZZA, P; AGNETTA, D; BONAVIRI, C; TRAPANI, FD; VISCONTI, G; GIANGUZZA, F; RIGGIO, S",2011,10.1080/02757540.2010.547484,Gianguzza et al. 2011,review,herbivory,Mediterranean Sea,Western Mediterranean,Arbacia lixula,N,N,N,N
