Date,Site ID,Site,Protection status,Substrate,Transect number,Transect area,Depth,Rugosity,Heading,Species code,Species name,Diet,Guild,Size,Count,aL,bL,a,b
3/19/19,HPC7,Hanauma,Protected,Colonized hardbottom,7,50,35,19.48,300,DIPA,Diadema paucispinum,Urchin,Grazing urchin,6,1,0,10,0.005,2.47
3/19/19,HPC8,Hanauma,Protected,Colonized hardbottom,8,50,19,16.78,180,DIPA,Diadema paucispinum,Urchin,Grazing urchin,3,1,0,10,0.005,2.47
8/19/18,KUC1,Kaneohe,Unprotected,Colonized hardbottom,1,50,13,17.7,155,DIPA,Diadema paucispinum,Urchin,Grazing urchin,6,1,0,10,0.005,2.47
,HPC1,Hanauma,Protected,Colonized hardbottom,1,125,13,15.04,240,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPC10,Hanauma,Protected,Colonized hardbottom,10,125,6,16.47,310,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPC2,Hanauma,Protected,Colonized hardbottom,2,125,15,14.42,155,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPC3,Hanauma,Protected,Colonized hardbottom,3,125,11,15.86,0,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPC4,Hanauma,Protected,Colonized hardbottom,4,125,23,22.38,240,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPC5,Hanauma,Protected,Colonized hardbottom,5,125,8,17.86,170,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPC6,Hanauma,Protected,Colonized hardbottom,6,125,7,15.12,55,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPC9,Hanauma,Protected,Colonized hardbottom,9,125,26,19.16,90,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPU1,Hanauma,Protected,Uncolonized hardbottom,1,125,3,12.66,150,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPU10,Hanauma,Protected,Uncolonized hardbottom,10,125,3,13.34,180,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPU2,Hanauma,Protected,Uncolonized hardbottom,2,125,5,12.03,320,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPU3,Hanauma,Protected,Uncolonized hardbottom,3,125,3,12.12,0,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPU4,Hanauma,Protected,Uncolonized hardbottom,4,125,3,12.33,180,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPU5,Hanauma,Protected,Uncolonized hardbottom,5,125,3,14.73,270,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPU6,Hanauma,Protected,Uncolonized hardbottom,6,125,3,13.11,10,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPU7,Hanauma,Protected,Uncolonized hardbottom,7,125,6,13.86,135,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPU8,Hanauma,Protected,Uncolonized hardbottom,8,125,4,12.24,230,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPU9,Hanauma,Protected,Uncolonized hardbottom,9,125,5,15.04,60,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HUC1,Hanauma,Unprotected,Colonized hardbottom,1,125,26,12.96,150,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HUC10,Hanauma,Unprotected,Colonized hardbottom,10,125,4,12.44,20,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HUC2,Hanauma,Unprotected,Colonized hardbottom,2,125,18,13.18,90,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HUC3,Hanauma,Unprotected,Colonized hardbottom,3,125,17,13.26,150,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HUC4,Hanauma,Unprotected,Colonized hardbottom,4,125,15,13.23,190,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HUC5,Hanauma,Unprotected,Colonized hardbottom,5,125,17,12.27,120,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HUC6,Hanauma,Unprotected,Colonized hardbottom,6,125,15,13.4,60,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HUC7,Hanauma,Unprotected,Colonized hardbottom,7,125,15,20.83,0,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HUC8,Hanauma,Unprotected,Colonized hardbottom,8,125,15,13.63,140,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HUC9,Hanauma,Unprotected,Colonized hardbottom,9,125,4,12,120,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HUU1,Hanauma,Unprotected,Uncolonized hardbottom,1,125,6,13.07,300,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HUU10,Hanauma,Unprotected,Uncolonized hardbottom,10,125,2,10.84,160,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HUU2,Hanauma,Unprotected,Uncolonized hardbottom,2,125,8,12.47,0,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HUU3,Hanauma,Unprotected,Uncolonized hardbottom,3,125,6,12.06,60,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HUU4,Hanauma,Unprotected,Uncolonized hardbottom,4,125,5,12.84,190,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HUU5,Hanauma,Unprotected,Uncolonized hardbottom,5,125,7,12.85,"65, 160",DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
