Diameter_cm,Diameter_mm,ErosionRate_gPerDay,ErosionRate_mgPerDay,Location,Paper,Source,Notes
3.127867512,31.27867512,0.05027287,50.27286996,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
3.243416479,32.43416479,0.047351195,47.3511945,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
3.250391876,32.50391876,0.038391985,38.39198528,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
3.702499758,37.02499758,0.069317396,69.31739616,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
3.778269124,37.78269124,0.069565031,69.56503108,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
4.475696177,44.75696177,0.104139474,104.1394738,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
4.554032918,45.54032918,0.103536548,103.5365475,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
4.994847679,49.94847679,0.024546825,24.54682541,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.087104887,50.87104887,0.153591016,153.5910165,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.164856734,51.64856734,0.154381433,154.3814326,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.274693583,52.74693583,0.184990337,184.9903369,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.385849008,53.85849008,0.189946446,189.9464465,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.43000847,54.3000847,0.203436184,203.4361835,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.50653854,55.0653854,0.184915299,184.9152987,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.549240101,55.49240101,0.205183277,205.1832766,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.584420364,55.84420364,0.184221921,184.221921,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.660846453,56.60846453,0.209590474,209.5904742,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.753043004,57.53043004,0.196381788,196.3817876,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.791180229,57.91180229,0.220893398,220.8933979,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.845770292,58.45770292,0.242519489,242.5194895,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.835534655,58.35534655,0.195257512,195.2575122,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.892854222,58.92854222,0.221700939,221.7009389,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.929774344,59.29774344,0.257170159,257.1701585,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.975909104,59.75909104,0.237807749,237.8077488,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
6.027461826,60.27461826,0.212552528,212.5525284,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
6.047890002,60.47890002,0.269301962,269.3019625,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
6.049042459,60.49042459,0.24954859,249.54859,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
6.08937845,60.8937845,0.237701115,237.7011145,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
6.122132488,61.22132488,0.216482549,216.4825488,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
6.157070129,61.57070129,0.304082921,304.0829212,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
6.171015409,61.71015409,0.274099307,274.0993067,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
