Diameter_cm,Diameter_mm,ErosionRate_gPerDay,ErosionRate_mgPerDay,Location,Paper,Source,Notes
1.496028796,14.96028796,0.107147169,107.1471685,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
1.598579832,15.98579832,0.103321476,103.3214765,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
1.783687398,17.83687398,0.194696029,194.6960287,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
1.889517963,18.89517963,0.164613936,164.6139359,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
2.025760411,20.25760411,0.14048769,140.48769,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
2.124760339,21.24760339,0.174354235,174.3542348,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
2.305811731,23.05811731,0.257361437,257.3614367,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
2.400882643,24.00882643,0.248114725,248.114725,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
2.388386047,23.88386047,0.186889503,186.8895031,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
2.559434514,25.59434514,0.255488328,255.4883277,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
2.641770307,26.41770307,0.353363114,353.3631142,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
2.674197029,26.74197029,0.245472532,245.4725317,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
2.788813673,27.88813673,0.291612476,291.6124765,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
2.916190344,29.16190344,0.326904022,326.9040219,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
3.037158027,30.37158027,0.361596047,361.5960466,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
3.166587338,31.66587338,0.379688575,379.6885747,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
3.15565113,31.5565113,0.262345295,262.3452946,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
3.2820101,32.820101,0.403159174,403.1591745,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
3.29084802,32.9084802,0.30623969,306.2396895,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
3.408615022,34.08615022,0.441562007,441.5620066,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
3.366408693,33.66408693,0.318747624,318.7476241,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
3.477313813,34.77313813,0.544568323,544.5683232,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
3.527411755,35.27411755,0.385408654,385.4086542,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
3.598070242,35.98070242,0.535340441,535.3404414,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
3.642419058,36.42419058,0.405476384,405.4763842,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
3.727614042,37.27614042,0.577235219,577.235219,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
3.762245165,37.62245165,0.420276191,420.2761905,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
