Diameter_cm,Diameter_mm,ErosionRate_gPerDay,ErosionRate_mgPerDay,Location,Paper,Source,Notes
1.293981982,12.93981982,8.64865E-05,0.086486486,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
1.483003003,14.83003003,0.00689009,6.89009009,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
1.588012012,15.88012012,0.010263063,10.26306306,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
1.483195195,14.83195195,0.03618018,36.18018018,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
1.588276276,15.88276276,0.050536937,50.53693694,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
1.80848048,18.0848048,0.009657658,9.657657658,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
1.819099099,18.19099099,0.027935135,27.93513514,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
1.798318318,17.98318318,0.060944144,60.94414414,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
1.892780781,18.92780781,0.057023423,57.02342342,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
1.997645646,19.97645646,0.038428829,38.42882883,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
1.976912913,19.76912913,0.07876036,78.76036036,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
1.998222222,19.98222222,0.126299099,126.2990991,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
2.092516517,20.92516517,0.09674955,96.74954955,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
2.186882883,21.86882883,0.078183784,78.18378378,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
2.386354354,23.86354354,0.077636036,77.63603604,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
2.198078078,21.98078078,0.184331532,184.3315315,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
2.292540541,22.92540541,0.180410811,180.4108108,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
2.397573574,23.97573574,0.187445045,187.445045,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
2.387219219,23.87219219,0.209441441,209.4414414,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
2.586570571,25.86570571,0.190587387,190.5873874,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
2.491891892,24.91891892,0.161556757,161.5567568,"La Reunion Island, Indian Ocean",Conand et al. (1997),Conand et al. (1997),
