Diameter_cm,Diameter_mm,ErosionRate_gPerDay,ErosionRate_mgPerDay,Location,Paper,Source,Notes
1.088890118,10.88890118,0.013744606,13.74460602,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
1.759178308,17.59178308,0.034742097,34.74209721,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
1.807888035,18.07888035,0.039739444,39.73944431,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
2.61773064,26.1773064,0.050615107,50.61510658,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
2.147407778,21.47407778,0.059472893,59.47289318,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
2.090613656,20.90613656,0.06742078,67.42078026,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
2.414882939,24.14882939,0.065047345,65.04734456,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
2.526885365,25.26885365,0.074071272,74.07127247,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
2.288434162,22.88434162,0.076430814,76.43081357,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
1.876946116,18.76946116,0.082110158,82.11015788,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
2.054224383,20.54224383,0.085872111,85.87211115,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
2.149970818,21.49970818,0.109373096,109.373096,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
2.249548485,22.49548485,0.120701332,120.7013319,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
2.670043774,26.70043774,0.123989587,123.9895872,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
2.693754401,26.93754401,0.113363882,113.3638817,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
1.732443575,17.32443575,0.139305695,139.3056951,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
2.719773995,27.19773995,0.153734177,153.7341773,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
3.437876299,34.37876299,0.144388656,144.388656,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
1.984344191,19.84344191,0.180638093,180.6380925,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
2.486236488,24.86236488,0.187229182,187.2291824,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
2.745804078,27.45804078,0.199347547,199.3475465,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
3.004882739,30.04882739,0.199347547,199.3475465,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
1.054296109,10.54296109,0.09476625,94.76625022,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
2.115181116,21.15181116,0.263168232,263.1682321,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
3.173924395,31.73924395,0.27522553,275.2255295,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
3.73503142,37.3503142,0.353702502,353.7025023,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
3.413299267,34.13299267,0.369907712,369.9077115,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
3.909050911,39.09050911,0.446483534,446.4835344,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
4.940464799,49.40464799,0.390336972,390.3369719,Marshall Islands,Russo 1980,Russo 1980,Webplot digitized
